ТН;ТБ;ГОСБ;кластер;сумма
00000000000002226278;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;28853648381
00000000000001979312;Московский банк;Управление МБ по работе с предприятиями транспорта;1;11005119231
00000000000001409938;Северо-Западный банк;ГО по Санкт-Петербургу;1;-3131972
00000000000000957884;Юго-Западный банк;Ростовское ГОСБ;1;26349646283
00000000000001837506;Сибирский банк;Аппарат Сибирского банка;1;10991096262
00000000000001867181;Московский банк;Управление МБ по работе с предприятиями транспорта;1;28743695673
00000000000001456452;Северо-Западный банк;ГО по Санкт-Петербургу;1;6907201714
00000000000002072814;Центрально-Черноземный банк;ГО по Воронежской области;1;11728906171
00000000000001124228;Московский банк;Управление МБ по работе с предприятиями торговли;1;21149355317
00000000000001412702;Дальневосточный банк;Аппарат Дальневосточного банка;1;18249510542
00000000000000772710;Юго-Западный банк;Ростовское ГОСБ;1;270930573
00000000000000307312;Юго-Западный банк;Ставропольское ГОСБ;1;14564806117
00000000000001144682;Северо-Западный банк;Вологодское ГОСБ;3;24679233285
00000000000000009127;Московский банк;Управление МБ по работе с предприятиями промышленности;1;1877252452
00000000000001367098;Байкальский банк;Аппарат Байкальского Банка;1;19527063866
00000000000000674270;Уральский банк;Башкирское ГОСБ;1;-7194492
00000000000001505895;Московский банк;Управление МБ по работе с предприятиями промышленности;1;-9719492
00000000000000466257;Юго-Западный банк;Ростовское ГОСБ;1;20874753997
00000000000001360551;Дальневосточный банк;Приморское ГОСБ;1;20229060705
00000000000000418726;Уральский банк;Башкирское ГОСБ;1;29235849275
00000000000001896571;Сибирский банк;Омское ГОСБ;2;1997832379
00000000000000763926;Центрально-Черноземный банк;ГО по Луганской Народной Республике;5;-8048002
00000000000002048257;Московский банк;Управление МБ по работе с предприятиями транспорта;1;26827445199
00000000000000337398;Волго-Вятский банк;Владимирское ГОСБ;3;6743435496
00000000000002153284;Уральский банк;Западно-Сибирское ГОСБ;2;12560347772
00000000000002159328;Московский банк;Управление МБ по работе с предприятиями торговли;1;16368756254
00000000000001117482;Московский банк;Управление МБ по работе с предприятиями торговли;1;25932934610
00000000000000390737;Уральский банк;Свердловское ГОСБ;1;28295599930
00000000000001198603;Дальневосточный банк;Приморское ГОСБ;1;187223090
00000000000001463693;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;22293524761
00000000000001972516;Среднерусский банк;Тульское ГОСБ;2;5532740487
00000000000000351685;Сибирский банк;Алтайское ГОСБ;2;986324150
00000000000001558335;Северо-Западный банк;Коми ГОСБ;4;-6876467
00000000000001981372;Среднерусский банк;Восточное ГОСБ;1;20809208637
00000000000001985942;Дальневосточный банк;Хабаровское ГОСБ;2;0
00000000000001959400;Сибирский банк;Кемеровское ГОСБ;1;17557680890
00000000000000312784;Юго-Западный банк;Ставропольское ГОСБ;1;11388352799
00000000000001966727;Северо-Западный банк;ГО по Ленинградской области;2;19293304669
00000000000001532937;Уральский банк;Свердловское ГОСБ;1;14001012783
00000000000002173021;Уральский банк;Югорское отделение;1;-5039118
00000000000001931010;Московский банк;Управление МБ по работе с предприятиями торговли;1;2057910489
00000000000001972577;Уральский банк;Свердловское ГОСБ;1;28259748171
00000000000001479138;Московский банк;Управление МБ по работе с предприятиями торговли;1;20961039981
00000000000000452913;Поволжский банк;Саратовское ГОСБ;2;-2758504
00000000000000445810;Поволжский банк;Пензенское ГОСБ;3;10933654612
00000000000000338022;Волго-Вятский банк;Банк Татарстан ГОСБ;1;11126174972
00000000000001831589;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;26755326980
00000000000002201705;Поволжский банк;Аппарат Поволжского банка;1;10416626489
00000000000001744712;Московский банк;Управление МБ по работе с предприятиями торговли;1;6461973629
00000000000001724998;Сбербанк;;0;-3367166
00000000000000450128;Поволжский банк;Волгоградское ГОСБ;2;21008167713
00000000000000310473;Юго-Западный банк;Ставропольское ГОСБ;1;25667909784
00000000000002212251;Сибирский банк;Алтайское ГОСБ;2;25635572080
00000000000001100847;Волго-Вятский банк;Аппарат Волго-Вятского банка;1;-6631037
00000000000000413408;Центрально-Черноземный банк;Белгородское ГОСБ;2;12177463725
00000000000001843518;Северо-Западный банк;ГО по Санкт-Петербургу;1;-1634254
00000000000002063624;Поволжский банк;Астраханское ГОСБ;4;2307128364
00000000000001582821;Центрально-Черноземный банк;Орловское ГОСБ;4;-3362669
00000000000001335295;Байкальский банк;Иркутское ГОСБ;1;19727077119
00000000000000926303;Уральский банк;Башкирское ГОСБ;1;18748444478
00000000000001932372;Юго-Западный банк;Ставропольское ГОСБ;1;7316882192
00000000000002160342;Северо-Западный банк;ГО по Ленинградской области;2;11585051834
00000000000001351744;Среднерусский банк;Костромское ГОСБ;4;19104144288
00000000000000417593;Уральский банк;Башкирское ГОСБ;1;26004721331
00000000000000798488;Волго-Вятский банк;Пермское ГОСБ;1;20452668134
00000000000002082459;Среднерусский банк;Северное ГОСБ;1;19781063646
00000000000001787964;Юго-Западный банк;Аппарат Юго-Западного банка;1;21845081019
00000000000001235479;Северо-Западный банк;ГО по Санкт-Петербургу;1;7478736361
00000000000001359999;Волго-Вятский банк;Пермское ГОСБ;1;0
00000000000001766338;Поволжский банк;Оренбургское ГОСБ;2;16033166981
00000000000002225077;Московский банк;Управление МБ по работе с предприятиями торговли;1;15258994374
00000000000000097037;Уральский банк;Западно-Сибирское ГОСБ;2;21853707560
00000000000001071209;Сибирский банк;Алтайское ГОСБ;2;28273191251
00000000000001696609;Московский банк;Управление МБ по работе с предприятиями торговли;1;18127804396
00000000000002092963;Московский банк;Управление МБ по работе с предприятиями промышленности;1;8557150671
00000000000000342684;Сибирский банк;Кемеровское ГОСБ;1;22664224926
00000000000000895835;Среднерусский банк;Тульское ГОСБ;2;18975751460
00000000000000861100;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;6823563720
00000000000001691439;Северо-Западный банк;ГО по Санкт-Петербургу;1;29767809342
00000000000000287135;Дальневосточный банк;Благовещенское ГОСБ;3;6935836968
00000000000000822802;Сибирский банк;Омское ГОСБ;2;28641789164
00000000000001112806;Дальневосточный банк;Хабаровское ГОСБ;2;8420216087
00000000000001792760;Северо-Западный банк;Аппарат Северо-Западного банка;1;23203897701
00000000000002242401;Центрально-Черноземный банк;Липецкое ГОСБ;3;14702779594
00000000000002091087;Северо-Западный банк;Псковское ГОСБ;4;12581874373
00000000000001393319;Волго-Вятский банк;ГО по Нижегородской области;1;12217257242
00000000000001000966;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;-3193984
00000000000000776965;Юго-Западный банк;Ростовское ГОСБ;1;0
00000000000001076915;Центрально-Черноземный банк;ГО по Луганской Народной Республике;5;-8787348
00000000000000418152;Московский банк;Аппарат территориального банка;0;-4027077
00000000000001905195;Северо-Западный банк;ГО по Ленинградской области;2;17951417498
00000000000000908605;Поволжский банк;Ульяновское ГОСБ;3;20341723063
00000000000001583445;Сибирский банк;Красноярское ГОСБ;1;1570542357
00000000000000933720;Московский банк;Управление МБ по работе с предприятиями торговли;1;-7477800
00000000000000351991;Сибирский банк;Новосибирское ГОСБ;1;-9013109
00000000000001756540;Северо-Западный банк;Вологодское ГОСБ;3;14597653926
00000000000000296490;Северо-Западный банк;Архангельское ГОСБ;2;5819621894
00000000000001409880;Центрально-Черноземный банк;Липецкое ГОСБ;3;0
00000000000002007003;Дальневосточный банк;Благовещенское ГОСБ;3;-5704666
00000000000001383610;Юго-Западный банк;Ростовское ГОСБ;1;-4354753
00000000000001773474;Среднерусский банк;Южное ГОСБ;1;-3852493
00000000000001287547;Байкальский банк;Иркутское ГОСБ;1;4518586230
00000000000000007557;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;959029872
00000000000000387156;Уральский банк;Аппарат Уральского банка;1;26335142789
00000000000001773623;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;-6718227
00000000000001479791;Северо-Западный банк;Вологодское ГОСБ;3;24547632056
00000000000002137147;Волго-Вятский банк;Пермское ГОСБ;1;1321319538
00000000000000909333;Юго-Западный банк;Карачаево-Черкесское ОСБ;5;4064550115
00000000000001502066;Среднерусский банк;Тульское ГОСБ;2;17892629222
00000000000000687330;Северо-Западный банк;Калининградское ГОСБ;3;-5388460
00000000000001357507;Московский банк;Управление МБ по работе с предприятиями транспорта;1;21236990490
00000000000000633569;Среднерусский банк;Рязанское ГОСБ;3;14988133424
00000000000001616146;Северо-Западный банк;ГО по Санкт-Петербургу;1;0
00000000000000997822;Поволжский банк;Оренбургское ГОСБ;2;-4991167
00000000000001952668;Центрально-Черноземный банк;ГО по Воронежской области;1;21425445417
00000000000000884781;Московский банк;Управление МБ по работе с предприятиями торговли;1;0
00000000000001338658;Байкальский банк;Читинское ГОСБ;3;-7586676
00000000000001506459;Северо-Западный банк;ГО по Санкт-Петербургу;1;26165059564
00000000000001212056;Среднерусский банк;Восточное ГОСБ;1;25020781990
00000000000001741089;Северо-Западный банк;ГО по Санкт-Петербургу;1;22147993064
00000000000000965393;Среднерусский банк;Восточное ГОСБ;1;15753086184
00000000000002163947;Среднерусский банк;Ярославское ГОСБ;2;10107032847
00000000000000401657;Центрально-Черноземный банк;Липецкое ГОСБ;3;24244195715
00000000000000958220;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;1434798262
00000000000000791423;Волго-Вятский банк;Пермское ГОСБ;1;26439912274
00000000000000923850;Среднерусский банк;Южное ГОСБ;1;6529511002
00000000000000405705;Центрально-Черноземный банк;Орловское ГОСБ;4;6950028874
00000000000001237482;Северо-Западный банк;Вологодское ГОСБ;3;7172681121
00000000000001968839;Поволжский банк;Самарское ГОСБ;1;6813129230
00000000000000342774;Сибирский банк;Новосибирское ГОСБ;1;23875648269
00000000000001193382;Юго-Западный банк;Краснодарское ГОСБ;1;15290559327
00000000000000415310;Центрально-Черноземный банк;Аппарат Центрально-Черноземного банка;1;190081124
00000000000000314750;Волго-Вятский банк;ГО по Нижегородской области;1;23482419324
00000000000000386820;Северо-Западный банк;Калининградское ГОСБ;3;5450002348
00000000000002202982;Северо-Западный банк;Архангельское ГОСБ;2;-7155633
00000000000001828427;Волго-Вятский банк;Пермское ГОСБ;1;-5487956
00000000000002079504;Северо-Западный банк;ГО по Санкт-Петербургу;1;28553268148
00000000000000885965;Уральский банк;Челябинское ГОСБ;1;15120901719
00000000000000908738;Байкальский банк;Иркутское ГОСБ;1;12645909264
00000000000001993359;Волго-Вятский банк;Мордовское ГОСБ;4;26821556514
00000000000001637520;Дальневосточный банк;Южно-Сахалинское ГОСБ;3;27474243778
00000000000000396188;Поволжский банк;Астраханское ГОСБ;4;5703811322
00000000000001078591;Северо-Западный банк;ГО по Санкт-Петербургу;1;14564255844
00000000000001292028;Сибирский банк;Красноярское ГОСБ;1;13252107849
00000000000001394513;Центральный аппарат;;0;28305068079
00000000000001691126;Среднерусский банк;Западное ГОСБ;1;545946624
00000000000002186415;Дальневосточный банк;Приморское ГОСБ;1;26414963630
00000000000001024600;Уральский банк;Курганское ГОСБ;4;28799914904
00000000000000331961;Волго-Вятский банк;Аппарат Волго-Вятского банка;1;23069559095
00000000000001782863;Среднерусский банк;Восточное ГОСБ;1;280057040
00000000000002053204;Байкальский банк;Иркутское ГОСБ;1;21025982131
00000000000000316138;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;18785194313
00000000000000451269;Поволжский банк;Волгоградское ГОСБ;2;29331331218
00000000000002050528;Сибирский банк;Красноярское ГОСБ;1;-819441
00000000000001786202;Юго-Западный банк;Аппарат Юго-Западного банка;1;11372334624
00000000000001957961;Среднерусский банк;Западное ГОСБ;1;-6364966
00000000000002155929;Среднерусский банк;Смоленское ГОСБ;4;9825346709
00000000000001779049;Сибирский банк;Новосибирское ГОСБ;1;20488368510
00000000000001447467;Поволжский банк;Аппарат Поволжского банка;1;20986921401
00000000000000406787;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;2568750346
00000000000001830541;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;9208564713
00000000000001783126;Среднерусский банк;Аппарат Среднерусского банка;1;12875407541
00000000000000450787;Московский банк;Управление МБ по работе с предприятиями торговли;1;19457121732
00000000000000130728;Байкальский банк;Аппарат Байкальского Банка;1;21922497959
00000000000001873850;Северо-Западный банк;Аппарат Северо-Западного банка;1;20637432996
00000000000000381745;Северо-Западный банк;ГО по Санкт-Петербургу;1;18767585444
00000000000001744721;Юго-Западный банк;Ростовское ГОСБ;1;8086406539
00000000000000808888;Среднерусский банк;Тульское ГОСБ;2;25939351205
00000000000002043747;Центрально-Черноземный банк;ГО по Воронежской области;1;29030322586
00000000000001826070;Среднерусский банк;Аппарат Среднерусского банка;1;28298522919
00000000000001430753;Московский банк;Управление МБ по работе с предприятиями торговли;1;12027506241
00000000000001081989;Уральский банк;Западно-Сибирское ГОСБ;2;-2904351
00000000000001573015;Волго-Вятский банк;Банк Татарстан ГОСБ;1;57429849
00000000000000083490;Среднерусский банк;Южное ГОСБ;1;8248421340
00000000000001522905;Московский банк;Управление МБ по работе с предприятиями торговли;1;29307003914
00000000000000926859;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;8895383519
00000000000002184414;Северо-Западный банк;Мурманское ГОСБ;2;-9518503
00000000000001968669;Московский банк;Управление МБ по работе с предприятиями сферы услуг;1;1464831374
00000000000001416887;Дальневосточный банк;Хабаровское ГОСБ;2;688543170
00000000000001360258;Волго-Вятский банк;Банк Татарстан ГОСБ;1;22236286572
00000000000001117539;Уральский банк;Аппарат Уральского банка;1;-5574870
00000000000002142115;Юго-Западный банк;Ингушское ОСБ;5;12284623401
00000000000002021609;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;7474969592
00000000000000911141;Байкальский банк;Иркутское ГОСБ;1;21764590965
00000000000000127348;Северо-Западный банк;Калининградское ГОСБ;3;25822464448
00000000000000321473;Волго-Вятский банк;Кировское ГОСБ;3;4835634476
00000000000000360142;Среднерусский банк;Калужское ГОСБ;3;29944186047
00000000000002121699;Дальневосточный банк;Хабаровское ГОСБ;2;24568192956
00000000000000312937;Юго-Западный банк;Ставропольское ГОСБ;1;670791199
00000000000000546417;Волго-Вятский банк;Удмуртское ГОСБ;2;1623715379
00000000000000818931;Юго-Западный банк;ГО по Донецкой Народной Республике;5;0
00000000000000394532;Поволжский банк;Ульяновское ГОСБ;3;-4995763
00000000000000329966;Волго-Вятский банк;Банк Татарстан ГОСБ;1;-4177399
00000000000001757623;Северо-Западный банк;ГО по Санкт-Петербургу;1;26309556250
00000000000002159937;Московский банк;Управление МБ по работе с предприятиями торговли;1;1133323869
00000000000000678203;Северо-Западный банк;Аппарат Северо-Западного банка;1;21974964141
00000000000000399058;Центрально-Черноземный банк;ГО по Воронежской области;1;19137496252
00000000000001920754;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;21714885361
00000000000000758700;Юго-Западный банк;Ростовское ГОСБ;1;-9387264
00000000000001471288;Среднерусский банк;Восточное ГОСБ;1;3077461149
00000000000000367245;Среднерусский банк;Тульское ГОСБ;2;28430356126
00000000000002002117;Юго-Западный банк;Краснодарское ГОСБ;1;20216680837
00000000000002119256;Волго-Вятский банк;Банк Татарстан ГОСБ;1;-6015134
00000000000002223264;Московский банк;Управление МБ по работе с предприятиями промышленности;1;23059196575
00000000000001969796;Среднерусский банк;Рязанское ГОСБ;3;6430168751
00000000000000873286;Сибирский банк;Красноярское ГОСБ;1;0
00000000000001639520;Северо-Западный банк;ГО по Санкт-Петербургу;1;29423507531
00000000000001496513;Байкальский банк;Аппарат Байкальского Банка;1;10026324481
00000000000001060028;Среднерусский банк;Брянское ГОСБ;3;4881544253
00000000000001949961;Юго-Западный банк;Краснодарское ГОСБ;1;6458337625
00000000000000816264;Уральский банк;Ямало-Ненецкое отделение;4;24199412484
00000000000002000452;Юго-Западный банк;Краснодарское ГОСБ;1;-9700017
00000000000000859530;Центрально-Черноземный банк;Белгородское ГОСБ;2;13049769518
00000000000000950723;Юго-Западный банк;Краснодарское ГОСБ;1;22285110604
00000000000000346189;Сибирский банк;Кемеровское ГОСБ;1;9697229542
00000000000000011228;Московский банк;Управление МБ по работе с предприятиями сферы недвижимости;1;-4457976
00000000000002178574;Центрально-Черноземный банк;ГО по Луганской Народной Республике;5;20772482115
00000000000002215029;Волго-Вятский банк;Банк Татарстан ГОСБ;1;17656847822
00000000000000771151;Юго-Западный банк;Краснодарское ГОСБ;1;26350826957
